municipio,latitude,longitude,estado,populacao
PortoVelho,-8.7494,-63.9106,RO,517709
RioBranco,-9.9724,-67.8101,AC,389001
Manaus,-3.0922,-60.0604,AM,2303732
BoaVista,2.8212,-60.6730,RR,485477
Belem,-1.4554,-48.5051,PA,1397315
Macapa,0.0407,-51.0574,AP,489676
Palmas,-10.1845,-48.3337,TO,328499
SaoLuis,-2.5274,-44.3061,MA,1089215
Teresina,-5.0911,-42.8116,PI,905692
Fortaleza,-3.7254,-38.5236,CE,2578483
Natal,-5.8301,-35.2128,RN,784249
JoaoPessoa,-7.1688,-34.8638,PB,897663
Recife,-8.0632,-34.8711,PE,1588376
Maceio,-9.6599,-35.7406,AL,994952
Aracaju,-10.9444,-37.0690,SE,630932
Salvador,-12.9742,-38.5125,BA,2564204
BeloHorizonte,-19.9237,-43.9363,MG,2415872
Vitoria,-20.3155,-40.3128,ES,343378
RioDeJaneiro,-22.9068,-43.1729,RJ,6730729
SaoPaulo,-23.5505,-46.6333,SP,11904961
Curitiba,-25.4290,-49.2671,PR,1830795
Florianopolis,-27.5945,-48.5477,SC,587486
PortoAlegre,-30.0346,-51.2177,RS,1388794
CampoGrande,-20.4697,-54.6201,MS,962883
Cuiaba,-15.6010,-56.0974,MT,691875
Goiania,-16.6869,-49.2648,GO,1503256
Brasilia,-15.7975,-47.8919,DF,2996889
